Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelM_US_FPCMP2,BHM,AMD,BHM,AMD,1,3.5,1.51,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,CHI,MAA,CHI,MAA,0.95,2,1.02,0.96,0.96,0.96,1,1,0.95
FlyDealFarePanelD_US_FPCMP2,DCA,HYD,DCA,HYD,0.95,7,2.34,1.11,1.01,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,BOS,DEL,BOS,0.25,2.33,1.22,0.26,0.26,0.26,1,3,0.25
FlyDealFarePanelMOW_US_FPCMP2,IAD,HYD,IAD,HYD,0.92,2,1.22,0.93,0.93,0.93,0,4,0
FlyDealFarePanelM_US_FPCMP2,HFD,DEL,HFD,DEL,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,CLT,MAA,CLT,MAA,0.75,3,1.22,0.76,0.76,0.76,0,2,0
FlyDealFarePanelD_US_FPCMP2,AUS,DEL,AUS,DEL,0.95,2,1.02,0.96,0.96,0.96,0,2,0
FlyDealFarePanelM_US_FPCMP2,IXC,SEA,IXC,SEA,0.45,2.5,1.22,0.46,0.46,0.46,0,2,0
FlyDealFarePanelM_US_FPCMP2,WAS,DEL,WAS,DEL,1,1,1,1.01,1.01,1.01,1,10,1
FlyDealFarePanelMOW_US_FPCMP2,SEA,HYD,SEA,HYD,0.75,3,1.22,0.76,0.76,0.76,0,2,0
FlyDealFarePanelD_US_FPCMP2,DFW,NAG,DFW,NAG,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,BOS,COK,BOS,COK,0.95,2,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,LAX,CCU,LAX,CCU,0.95,2,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,EWR,AMD,EWR,AMD,1,2.17,1.22,1.01,1.01,1.01,5,42,5
FlyDealFarePanelD_US_FPCMP2,RDU,BOM,RDU,BOM,0.95,2,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,LAX,DEL,LAX,DEL,1,2.84,1.51,1.22,1.01,1.01,3,88,3
FlyDealFarePanelD_US_FPCMP2,BLR,RAP,BLR,RAP,0.55,2,1.02,0.56,0.56,0.56,0,1,0
FlyDealFarePanelD_US_FPCMP2,DCA,DEL,DCA,DEL,1.17,1,1.17,1.18,1.18,1.18,0,1,0
FlyDealFarePanelD_US_FPCMP2,MCI,HYD,MCI,HYD,0.95,3.65,1.34,1.02,1.01,0.96,1,4,0.47
FlyDealFarePanelM_US_FPCMP2,ROC,DEL,ROC,DEL,1,2,1.22,1.01,1.01,1.01,0,1,0
FlyDealFarePanelM_US_FPCMP2,AUS,AMD,AUS,AMD,1,2,1.22,1.01,1.01,1.01,0,1,0
FlyDealFarePanelD_US_FPCMP2,TPA,AMD,TPA,AMD,0.95,4.95,1.78,1.02,1.01,0.96,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,NYC,BOM,NYC,BOM,1.8,1,1.8,1.81,1.81,1.81,1,1,1.8
FlyDealFarePanelM_US_FPCMP2,DEL,IAD,DEL,IAD,0.45,4,1.22,0.53,0.46,0.46,0,2,0
